Username,StudentIDNumber,GroupCode
67301050031,67301050031,673010505
67301050033,67301050033,673010505
67301050035,67301050035,673010505
67301050036,67301050036,673010505
67301050037,67301050037,673010505
67301050038,67301050038,673010505
67301050040,67301050040,673010505
67301050041,67301050041,673010505
67301050042,67301050042,673010505
67301050043,67301050043,673010505
67301050044,67301050044,673010505
67301050045,67301050045,673010505
67301050047,67301050047,673010505
67301050049,67301050049,673010505
67301050050,67301050050,673010505
67301050052,67301050052,673010505
67301050053,67301050053,673010505
67301050054,67301050054,673010505
67301050058,67301050058,673010505
67301050059,67301050059,673010505
67319010033,67319010033,673190103
67319010035,67319010035,673190103
67319010036,67319010036,673190103
67319010037,67319010037,673190103
67319010038,67319010038,673190103
67319010040,67319010040,673190103
67319010041,67319010041,673190103
67319010042,67319010042,673190103
67319010043,67319010043,673190103
67319010044,67319010044,673190103
67319010048,67319010048,673190103
67319010049,67319010049,673190103
67319010050,67319010050,673190103
67319010051,67319010051,673190103
67319010052,67319010052,673190103
67319010053,67319010053,673190103
67319010054,67319010054,673190103
